1   3.24442  -2.49716
0  -2.75941   3.02807
1   3.85966  -1.80852
1  -3.15247  -2.12756
2   5.30124  -2.51248
1  -1.26124  -3.39438
2   2.49261   1.62593
2   2.77855   0.43571
1   0.62316  -2.14205
2   1.87400   5.71337
0  -3.06200   4.13752
1  -5.26288  -0.74128
1   0.83914  -1.79307
1  -2.76070  -0.30194
1  -0.17304  -2.91531
1  -0.29858  -0.01324
1  -5.57623  -3.58721
1   0.26805  -1.29553
2   2.44547   0.25779
2   2.44498  -0.80263
2   3.95813  -1.10778
2   2.47122   2.69632
1  -2.80598  -2.63769
1   1.79212  -1.63038
1  -0.49363  -1.93121
1  -1.97005  -1.49431
2   3.18324   0.46456
2   2.39947  -2.56506
2   4.01479   2.02424
2   4.82977  -2.61819
2   1.87750   3.11276
1   0.24872  -0.48303
1  -1.98055  -2.53445
2   1.48657   0.11430
1  -0.21335  -1.77374
2   4.54215  -1.18701
1   0.88116  -1.91740
1   0.53047  -2.37227
2   4.63736  -0.29119
1   2.75451  -2.14318
1  -0.24348  -3.76290
1   0.40132  -2.85320
2   1.18273   1.93730
1  -1.73299  -2.66681
1   2.68020  -3.56926
2   3.41605  -0.57693
2   2.74123   2.95023
2   1.99557   0.92035
1   0.24149  -1.25178
0  -5.64882   3.10607
1  -3.51080  -2.34861
1  -0.19737  -2.21498
0  -3.39832   3.16732
0  -2.11587   4.18425
1  -0.82751  -1.32404
1   1.02597  -2.02692
2   2.96383   2.87655
1   1.52190  -1.67653
2   3.35088   0.30047
2   2.91185   1.14993
1   0.80617  -0.52807
1   0.25877  -3.26254
2   2.13976   0.63548
1  -1.97361  -1.94071
2   3.18026  -0.13679
2   3.59104  -0.41488
2   1.09666   2.07772
2   3.14713   1.22659
1   1.20177  -3.13164
1  -1.51967  -2.65438
1  -1.31830  -1.38888
2   4.23843  -1.68696
1   3.75160  -1.58431
1   1.48537  -2.08058
1  -0.05492  -2.09809
1   3.86170  -2.40584
1  -3.30740  -0.74666
1   1.77553  -3.17427
0  -2.47171   2.92233
2   4.80549  -1.31395
1   3.91819  -3.08368
1  -0.79725  -1.88955
1   0.07188  -1.14990
1  -1.19571  -2.15833
1   0.04063  -2.19396
1   3.17614  -1.88736
2   1.32388   0.09243
1  -0.56849  -2.04304
2   2.33488   0.04837
1  -1.92651  -2.24762
1  -0.87934  -0.91178
1   2.43797  -1.57982
1   1.16318  -2.23441
2   2.54359   1.05996
1  -0.49041  -2.36164
2   2.32090  -0.11822
1  -0.54976  -3.41608
1  -1.63534  -3.34636
2   2.24880   3.05343
2   3.95210  -2.58368
1   0.18692  -0.54041
1  -0.10560  -2.15421
1   1.06702  -2.41562
2   0.71210   4.03704
1  -0.01781  -1.42221
1  -2.94596  -1.99397
1  -0.66226  -0.49742
1   1.80861  -0.80001
2   2.94735   0.28134
1  -0.49731  -2.66965
2   4.69052  -0.77912
